Gender,Age Group,Current Position,Primary Role in Environmental Surveillance for Polio Eradication ,Years of Experience ,Location/State of Primary Assignment,Are you aware of environmental surveillance (ES) activities in your area? ,"How familiar are you with the processes of ES (sewage sampling, lab testing)?",What is environmental surveillance about?,Have you received formal training on ES? ,How effective is ES in detecting poliovirus compared to  Acute Flaccid Paralysis (AFP) ?,Has ES in your area contributed to early detection of poliovirus cases? ,ES has played a role in polio eradication in Nigeria,Challenges encountered in ES (check all that apply),Frequency of environmental sample collection,Do you work with both AFP and ES systems? ,Which system has faster virus detection? ,Key differences observed between ES and AFP,What can be done to improve ES in your region? ,Should ES be expanded nationwide? Why/why not? 
Female,31-'40,Laboratory Scientist,Laboratory analysis,5-'10 years,Katsina ,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,No,Neutral,Delay in lab analysis;Lack of community awareness,Bi-weekly,No,Not sure,,,
Female,31-'40,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Katsina,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Not sure,Agree,Poor funding;Lack of community awareness,Monthly,No,Both,,,
Male,41-'50,Environmental Health Officer,Supervision/Coordination,5-'10 years,Katsina,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Agree,Poor funding;Inadequate training;Lack of community awareness,Monthly,No,Both,,,
Male,41-'50,Environmental Health Officer,Supervision/Coordination,11-'15 years,Niger ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Agree,Poor funding;Sample collection difficulties;Delay in lab analysis;Logistical/transport issues;Lack of community awareness,,No,Both,,,
Male,31-'40,Laboratory Scientist,Laboratory analysis,5-'10 years,Delta ,No,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Agree,Poor funding;Inadequate training;Sample collection difficulties;Insecurity in sampling areas;Lack of community awareness,,Yes,AFP,,,
Female,31-'40,Laboratory Scientist,Laboratory analysis,Less than 5 years,Rivers state ,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,Not sure,Agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Logistical/transport issues;Lack of community awareness,Monthly,Yes,AFP,,,
Female,18-'30,Nurse,Data management and reporting,Less than 5 years,Kwara,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,Not sure,Agree,Poor funding;Inadequate training;Lack of community awareness,Not applicable,No,Not sure,,,
Male,31-'40,Environmental Health Officer,Routine Inspection of Premises,11-'15 years,Zamfara,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Poor funding;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues,Weekly,Yes,Both,,,
Female,18-'30,Surveillance Officer,Laboratory analysis,5-'10 years,Kaduna,Yes,Very familiar,Tracking wildlife populations to maintain ecological balance and biodiversity,Yes,More effective,Yes,Agree,Poor funding;Inadequate training;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues,Monthly,Yes,Both,,,
Female,41-'50,Environmental Health Officer,Laboratory analysis,5-'10 years,Kano,No,Somewhat familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,Equally effective,Yes,Agree,Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues,Bi-weekly,Yes,Both,,,
Female,31-'40,Health Facility Worker,Supervision/Coordination,11-'15 years,Kebbi,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Yes,Strongly agree,Poor funding;Delay in lab analysis;Logistical/transport issues;Lack of community awareness,Bi-weekly,Yes,Both,,,
Male,18-'30,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Kebbi,Yes,Very familiar,Tracking wildlife populations to maintain ecological balance and biodiversity,Yes,More effective,Yes,Agree,Poor funding;Inadequate training;Sample collection difficulties;Insecurity in sampling areas;Logistical/transport issues,Weekly,Yes,Both,,,
Male,31-'40,Environmental Health Officer,Data management and reporting,5-'10 years,Sokoto,Yes,Somewhat familiar,Studying genetic diseases to develop personalized medical treatments,Yes,More effective,Yes,Strongly agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Logistical/transport issues;Lack of community awareness,Weekly,Yes,Both,,,
Male,31-'40,Environmental Health Officer,Data management and reporting,5-'10 years,Kebbi,Yes,Very familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,More effective,Yes,Agree,Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Lack of community awareness,Weekly,Yes,Both,,,
Female,41-'50,Health Facility Worker,Supervision/Coordination,11-'15 years,Zamfara,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Inadequate training;Delay in lab analysis;Insecurity in sampling areas;Lack of community awareness,Bi-weekly,Yes,AFP,,,
Male,31-'40,Environmental Health Officer,Laboratory analysis,11-'15 years,Sokoto ,Yes,Very familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,More effective,Yes,Strongly agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues,Bi-weekly,Yes,Both,,,
Male,31-'40,Environmental Health Officer,Supervision/Coordination,5-'10 years,Zamfara,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Poor funding;Inadequate training;Delay in lab analysis,Weekly,Yes,AFP,,,
Female,18-'30,Surveillance Officer,Data management and reporting,5-'10 years,Gombe,Yes,Very familiar,Tracking wildlife populations to maintain ecological balance and biodiversity,Yes,Equally effective,Yes,Agree,Poor funding;Sample collection difficulties;Logistical/transport issues,Weekly,Yes,AFP,,,
Female,31-'40,Laboratory Scientist,Supervision/Coordination,11-'15 years,Kebbi,Yes,Very familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,More effective,Yes,Agree,Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas,Weekly,Yes,AFP,,,
Female,31-'40,Health Facility Worker,Data management and reporting,5-'10 years,Zamfara,Yes,Very familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,Equally effective,Yes,Agree,Poor funding;Sample collection difficulties;Delay in lab analysis;Logistical/transport issues,Weekly,Yes,ES,,,
Female,41-'50,Laboratory Scientist,Data management and reporting,11-'15 years,Zamfara,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,Yes,Strongly agree,Poor funding;Sample collection difficulties;Insecurity in sampling areas,Weekly,Yes,ES,,,
Female,41-'50,Environmental Health Officer,Data management and reporting,5-'10 years,Zamfara,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Poor funding;Sample collection difficulties;Insecurity in sampling areas;Logistical/transport issues,Bi-weekly,Yes,AFP,,,
Male,18-'30,Surveillance Officer,Laboratory analysis,5-'10 years,Zamfara,Yes,Very familiar,Tracking wildlife populations to maintain ecological balance and biodiversity,Yes,More effective,Yes,Agree,Poor funding;Delay in lab analysis;Logistical/transport issues;Lack of community awareness,Monthly,No,AFP,,,
Male,31-'40,Laboratory Scientist,Data management and reporting,5-'10 years,Zamfara ,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Yes,Agree,Poor funding;Sample collection difficulties;Insecurity in sampling areas;Logistical/transport issues,Weekly,Yes,AFP,,,
Female,18-'30,Surveillance Officer,Sample collection,Less than 5 years,Zamfara,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Yes,Agree,Inadequate training;Insecurity in sampling areas;Logistical/transport issues,Bi-weekly,Yes,Both,,,
Female,41-'50,Laboratory Scientist,Data management and reporting,11-'15 years,Zamfara,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Neutral,Inadequate training;Delay in lab analysis;Logistical/transport issues,Weekly,Yes,Both,,,
Female,41-'50,Environmental Health Officer,Laboratory analysis,11-'15 years,Zamfara ,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas,Monthly,Yes,AFP,,,
Male,31-'40,Health Facility Worker,Data management and reporting,5-'10 years,Zamfara,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Agree,Sample collection difficulties;Insecurity in sampling areas;Lack of community awareness,Monthly,Yes,Both,,,
Female,41-'50,Environmental Health Officer,Data management and reporting,5-'10 years,Sokoto,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,Yes,Neutral,Inadequate training;Sample collection difficulties;Insecurity in sampling areas;Logistical/transport issues,Monthly,Yes,Both,,,
Female,31-'40,Laboratory Scientist,Data management and reporting,5-'10 years,Sokoto ,Yes,Somewhat familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,Equally effective,Yes,Neutral,Inadequate training;Delay in lab analysis;Logistical/transport issues,Bi-weekly,No,Both,,,
Male,31-'40,Laboratory Scientist,Supervision/Coordination,Less than 5 years,Sokoto ,Yes,Somewhat familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,Equally effective,Yes,Neutral,Delay in lab analysis;Logistical/transport issues;Lack of community awareness,Weekly,Yes,Both,,,
Female,41-'50,Laboratory Scientist,Laboratory analysis,5-'10 years,Sokoto,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,Yes,Agree,Inadequate training;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues,Bi-weekly,Yes,Both,,,
Male,31-'40,Laboratory Scientist,Sample collection,5-'10 years,Sokoto,Yes,Somewhat familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,More effective,No,Strongly agree,Inadequate training;Delay in lab analysis;Logistical/transport issues,Bi-weekly,Yes,AFP,,,
Female,31-'40,Environmental Health Officer,Data management and reporting,5-'10 years,Sokoto,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,No,Agree,Sample collection difficulties;Insecurity in sampling areas;Logistical/transport issues;Lack of community awareness,Monthly,Yes,Both,,,
Male,31-'40,Surveillance Officer,Data management and reporting,5-'10 years,Sokoto,Yes,Very familiar,Tracking wildlife populations to maintain ecological balance and biodiversity,Yes,More effective,Yes,Agree,Inadequate training;Sample collection difficulties;Delay in lab analysis;Logistical/transport issues,Bi-weekly,Yes,Both,,,
Female,18-'30,Environmental Health Officer,Laboratory analysis,Less than 5 years,Sokoto ,Yes,Somewhat familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,Equally effective,Yes,Agree,Inadequate training;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues,Weekly,Yes,ES,,,
Female,41-'50,Health Facility Worker,Laboratory analysis,5-'10 years,Sokoto ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Strongly agree,Poor funding;Delay in lab analysis;Insecurity in sampling areas,Weekly,Yes,AFP,,,
Female,31-'40,Laboratory Scientist,Data management and reporting,5-'10 years,Kebbi ,Yes,Very familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,More effective,Yes,Agree,Delay in lab analysis;Logistical/transport issues;Lack of community awareness,Monthly,Yes,AFP,,,
Male,41-'50,Environmental Health Officer,Data management and reporting,11-'15 years,Kebbi,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Agree,Inadequate training;Delay in lab analysis;Insecurity in sampling areas;Logistical/transport issues,Weekly,Yes,Both,,,
Female,31-'40,Environmental Health Officer,Data management and reporting,5-'10 years,Kebbi,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Neutral,Inadequate training;Sample collection difficulties;Delay in lab analysis;Insecurity in sampling areas,Bi-weekly,Yes,Both,,,
Female,31-'40,Laboratory Scientist,Data management and reporting,5-'10 years,Kebbi,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Yes,Agree,Inadequate training;Delay in lab analysis;Logistical/transport issues,Weekly,Yes,Both,,,
Female,41-'50,Laboratory Scientist,Laboratory analysis,5-'10 years,Kebbi,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Yes,Agree,Inadequate training;Sample collection difficulties;Delay in lab analysis;Logistical/transport issues,Bi-weekly,Yes,Both,,,
Female,41-'50,Laboratory Scientist,Data management and reporting,11-'15 years,Kebbi,Yes,Somewhat familiar,Enforcing workplace safety regulations to prevent occupational injuries,Yes,Equally effective,Yes,Agree,Inadequate training;Sample collection difficulties;Insecurity in sampling areas,Monthly,Yes,Both,,,
Male,31-'40,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Abia,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Not sure,Agree,Poor funding;Lack of community awareness,Bi-weekly,No,AFP,,,
Male,31-'40,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Abia,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Not sure,Neutral,Poor funding;Inadequate training;Lack of community awareness,Bi-weekly,No,Not sure,,,
Female,41-'50,Laboratory Scientist,Laboratory analysis,11-'15 years,Abia,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,No,Agree,Inadequate training;Sample collection difficulties;Delay in lab analysis,Monthly,No,Both,,,
Female,18-'30,Health Facility Worker,Supervision/Coordination,Less than 5 years,Abia,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,Not sure,Disagree,Poor funding;Inadequate training,Rarely,No,Not sure,,,
Male,41-'50,Surveillance Officer,Supervision/Coordination,Over 15 years,Abia,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Yes,Agree,Poor funding;Inadequate training;Logistical/transport issues;Lack of community awareness,Bi-weekly,Yes,AFP,,,
Female,31-'40,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Abia,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,Not sure,Agree,Poor funding;Inadequate training,Monthly,Yes,ES,,,
Female,31-'40,Environmental Health Officer,Routine Inspection of Premises,11-'15 years,Abia,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,Not sure,Neutral,Lack of community awareness,Rarely,No,Both,,,
Female,18-'30,Laboratory Scientist,Laboratory analysis,5-'10 years,Abia,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,Yes,Neutral,Poor funding;Inadequate training,Weekly,No,Both,,,
Male,51+,Laboratory Scientist,Laboratory analysis,Over 15 years,Abia,No,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,No,Agree,Poor funding;Inadequate training;Sample collection difficulties;Delay in lab analysis;Lack of community awareness,Bi-weekly,No,Both,,,
Male,41-'50,Health Facility Worker,Data management and reporting,5-'10 years,Abia,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,No,Neutral,Poor funding;Inadequate training,Bi-weekly,Yes,Not sure,,,
Female,31-'40,Surveillance Officer,Supervision/Coordination,5-'10 years,Abia,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,Not sure,Disagree,Lack of community awareness,Rarely,No,Not sure,,,
Male,18-'30,Surveillance Officer,Supervision/Coordination,Less than 5 years,Delta,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Strongly agree,Poor funding,Weekly,Yes,ES,,,
Female,31-'40,Laboratory Scientist,Laboratory analysis,5-'10 years,Delta,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Agree,Inadequate training,Bi-weekly,No,AFP,,,
Male,41-'50,Environmental Health Officer,Data management and reporting,11-'15 years,Delta,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,Not sure,Neutral,Sample collection difficulties,Monthly,Yes,Both,,,
Female,51+,Health Facility Worker,Supervision/Coordination,Over 15 years,Delta,No,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,Yes,Disagree,Lack of community awareness,Rarely,No,Not sure,,,
Male,18-'30,Surveillance Officer,Routine Inspection of Premises,Less than 5 years,Delta ,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,No,Disagree,Poor funding;Inadequate training,Not applicable,Yes,ES,,,
Female,31-'40,Laboratory Scientist,Laboratory analysis,5-'10 years,Delta,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,Not sure,Agree,Delay in lab analysis;Insecurity in sampling areas,Bi-weekly,No,AFP,,,
Male,41-'50,Environmental Health Officer,Data management and reporting,11-'15 years,Delta,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,Yes,Agree,Insecurity in sampling areas,Bi-weekly,No,Both,,,
Female,41-'50,Health Facility Worker,Data management and reporting,11-'15 years,Delta ,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Neutral,Poor funding;Inadequate training,Monthly,No,Both,,,
Male,41-'50,Environmental Health Officer,Routine Inspection of Premises,11-'15 years,Delta ,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,No,Agree,Inadequate training;Lack of community awareness,Monthly,No,Both,,,
Male,31-'40,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Delta ,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,Yes,Agree,Logistical/transport issues;Lack of community awareness,Bi-weekly,No,Both,,,
Female,41-'50,Laboratory Scientist,Laboratory analysis,11-'15 years,Delta,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Agree,Poor funding;Inadequate training,Monthly,No,Both,,,
Male,18-'30,Surveillance Officer,Supervision/Coordination,Less than 5 years,Ogun ,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Yes,Strongly agree,Poor funding;Lack of community awareness,Weekly,Yes,ES,,,
Female,31-'40,Laboratory Scientist,Laboratory analysis,5-'10 years,Ogun,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Agree,Poor funding;Inadequate training;Lack of community awareness,Bi-weekly,No,AFP,,,
Male,41-'50,Environmental Health Officer,Data management and reporting,11-'15 years,Ogun,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,Not sure,Neutral,Poor funding;Inadequate training;Lack of community awareness,Monthly,Yes,Both,,,
Female,51+,Health Facility Worker,Supervision/Coordination,Over 15 years,Ogun,No,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,Yes,Disagree,Inadequate training;Lack of community awareness,Rarely,Yes,Not sure,,,
Male,18-'30,Surveillance Officer,Supervision/Coordination,Less than 5 years,Ogun,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,No,Strongly agree,Logistical/transport issues;Lack of community awareness,Rarely,Yes,ES,,,
Female,41-'50,Environmental Health Officer,Data management and reporting,5-'10 years,Ogun,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,No,Neutral,Poor funding;Inadequate training;Lack of community awareness,Monthly,No,AFP,,,
Female,31-'40,Laboratory Scientist,Laboratory analysis,5-'10 years,Ogun,No,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,No,Neutral,Poor funding;Sample collection difficulties;Delay in lab analysis,Bi-weekly,No,Both,,,
Male,41-'50,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Ogun,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,Not sure,Neutral,Poor funding;Inadequate training,Monthly,Yes,Both,,,
Female,41-'50,Laboratory Scientist,Laboratory analysis,5-'10 years,Ogun,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Agree,Poor funding;Lack of community awareness,Weekly,Yes,AFP,,,
Female,41-'50,Environmental Health Officer,Supervision/Coordination,11-'15 years,Ogun,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Neutral,Poor funding;Inadequate training,Monthly,Yes,AFP,,,
Female,18-'30,Health Facility Worker,Sample collection,Less than 5 years,Ogun,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Neutral,Poor funding;Inadequate training;Sample collection difficulties,Bi-weekly,No,Both,,,
Male,18-'30,Surveillance Officer,Supervision/Coordination,Less than 5 years,Anambra,Yes,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,More effective,Yes,Agree,Poor funding;Inadequate training,Weekly,Yes,Both,,,
Male,31-'40,Laboratory Scientist,Laboratory analysis,5-'10 years,Anambra,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,No,Neutral,Sample collection difficulties;Delay in lab analysis,Monthly,No,ES,,,
Male,51+,Environmental Health Officer,Routine Inspection of Premises,11-'15 years,Anambra,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Agree,Poor funding;Inadequate training,Monthly,No,AFP,,,
Female,41-'50,Health Facility Worker,Data management and reporting,11-'15 years,Anambra,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Neutral,Poor funding;Inadequate training;Logistical/transport issues;Lack of community awareness,Bi-weekly,No,AFP,,,
Male,31-'40,Laboratory Scientist,Laboratory analysis,5-'10 years,Anambra,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,No,Neutral,Inadequate training;Sample collection difficulties;Delay in lab analysis,Bi-weekly,Yes,Both,,,
Female,31-'40,Environmental Health Officer,Data management and reporting,5-'10 years,Anambra,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Neutral,Poor funding;Inadequate training;Lack of community awareness,Monthly,Yes,Both,,,
Female,41-'50,Environmental Health Officer,Routine Inspection of Premises,5-'10 years,Anambra,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,Not sure,Strongly disagree,Lack of community awareness,Rarely,No,Both,,,
Female,18-'30,Health Facility Worker,Data management and reporting,Less than 5 years,Anambra,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,No,Neutral,Inadequate training;Lack of community awareness,Monthly,No,Both,,,
Male,41-'50,Environmental Health Officer,Supervision/Coordination,11-'15 years,Anambra,Yes,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Less effective,No,Agree,Poor funding;Inadequate training,Rarely,No,Not sure,,,
Male,31-'40,Environmental Health Officer,Data management and reporting,11-'15 years,Anambra,No,Very familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Agree,Poor funding;Inadequate training;Logistical/transport issues;Lack of community awareness,Bi-weekly,No,Both,,,
Male,18-'30,Laboratory Scientist,Laboratory analysis,Less than 5 years,Oyo,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Equally effective,No,Agree,Poor funding;Inadequate training,Bi-weekly,Yes,AFP,,,
Female,31-'40,Environmental Health Officer,Data management and reporting,5-'10 years,Oyo,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Equally effective,No,Agree,Inadequate training;Logistical/transport issues,Weekly,No,Both,,,
Female,41-'50,Environmental Health Officer,Routine Inspection of Premises,11-'15 years,Oyo,No,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,No,Strongly agree,Logistical/transport issues;Lack of community awareness,Bi-weekly,No,Both,,,
Male,18-'30,Laboratory Scientist,Sample collection,Less than 5 years,Oyo,Yes,Somewhat familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",No,Don't know,Not sure,Disagree,Logistical/transport issues;Lack of community awareness,Rarely,No,Not sure,,,
Female,31-'40,Environmental Health Officer,Supervision/Coordination,5-'10 years,Oyo,No,Not familiar,"Monitoring and analyzing environmental hazards (e.g., pollution, toxins) to prevent health risks and guide public health actions",Yes,Less effective,Not sure,Neutral,Inadequate training;Lack of community awareness,Bi-weekly,No,AFP,,,
